"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Update exercise","LMS service","Tue Sep 09 05:38:44 UTC 2025","passed","Tue Sep 09 05:38:44 UTC 2025","Update entity","Exercises","",""
"","34","Get courses","LMS service","Tue Sep 09 05:38:42 UTC 2025","passed","Tue Sep 09 05:38:42 UTC 2025","Get entities","Courses","",""
"","548","Create user","LMS service","Tue Sep 09 05:38:49 UTC 2025","passed","Tue Sep 09 05:38:49 UTC 2025","Create entity","Users","",""
"","17","Get file","LMS service","Tue Sep 09 05:38:47 UTC 2025","passed","Tue Sep 09 05:38:47 UTC 2025","Get entity","Files","",""
"","269","Create file with empty directory","LMS service","Tue Sep 09 05:38:48 UTC 2025","passed","Tue Sep 09 05:38:48 UTC 2025","Validate entity","Files","",""
"","554","Login with correct email and password","LMS service","Tue Sep 09 05:38:41 UTC 2025","passed","Tue Sep 09 05:38:41 UTC 2025","Login","Authentication","",""
"","296","Delete file","LMS service","Tue Sep 09 05:38:48 UTC 2025","passed","Tue Sep 09 05:38:49 UTC 2025","Delete entity","Files","",""
"","262","Get file with incorrect file id","LMS service","Tue Sep 09 05:38:49 UTC 2025","passed","Tue Sep 09 05:38:49 UTC 2025","Validate entity","Files","",""
"","30","Update course","LMS service","Tue Sep 09 05:38:42 UTC 2025","passed","Tue Sep 09 05:38:42 UTC 2025","Update entity","Courses","",""
"","559","Create user","LMS service","Tue Sep 09 05:38:49 UTC 2025","passed","Tue Sep 09 05:38:50 UTC 2025","Create entity","Users","",""
"","291","Create user","LMS service","Tue Sep 09 05:38:49 UTC 2025","passed","Tue Sep 09 05:38:49 UTC 2025","Create entity","Users","",""
"","36","Create course","LMS service","Tue Sep 09 05:38:41 UTC 2025","passed","Tue Sep 09 05:38:41 UTC 2025","Create entity","Courses","",""
"","25","Create exercise","LMS service","Tue Sep 09 05:38:43 UTC 2025","passed","Tue Sep 09 05:38:44 UTC 2025","Create entity","Exercises","",""
"","16","Get user me","LMS service","Tue Sep 09 05:38:50 UTC 2025","passed","Tue Sep 09 05:38:50 UTC 2025","Get entity","Users","",""
"","22","Get exercises","LMS service","Tue Sep 09 05:38:46 UTC 2025","passed","Tue Sep 09 05:38:46 UTC 2025","Get entities","Exercises","",""
"","20","Create file","LMS service","Tue Sep 09 05:38:46 UTC 2025","passed","Tue Sep 09 05:38:46 UTC 2025","Create entity","Files","",""
"","20","Delete exercise","LMS service","Tue Sep 09 05:38:45 UTC 2025","passed","Tue Sep 09 05:38:45 UTC 2025","Delete entity","Exercises","",""
"","258","Create file with empty filename","LMS service","Tue Sep 09 05:38:47 UTC 2025","passed","Tue Sep 09 05:38:47 UTC 2025","Validate entity","Files","",""
"","53","Get exercise","LMS service","Tue Sep 09 05:38:45 UTC 2025","passed","Tue Sep 09 05:38:45 UTC 2025","Get entity","Exercises","",""
