"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Get exercises","LMS service","Tue Sep 09 05:31:16 UTC 2025","passed","Tue Sep 09 05:31:16 UTC 2025","Get entities","Exercises","",""
"","259","Create file with empty filename","LMS service","Tue Sep 09 05:31:17 UTC 2025","passed","Tue Sep 09 05:31:17 UTC 2025","Validate entity","Files","",""
"","261","Get file with incorrect file id","LMS service","Tue Sep 09 05:31:19 UTC 2025","passed","Tue Sep 09 05:31:19 UTC 2025","Validate entity","Files","",""
"","28","Get courses","LMS service","Tue Sep 09 05:31:12 UTC 2025","passed","Tue Sep 09 05:31:12 UTC 2025","Get entities","Courses","",""
"","552","Login with correct email and password","LMS service","Tue Sep 09 05:31:10 UTC 2025","passed","Tue Sep 09 05:31:11 UTC 2025","Login","Authentication","",""
"","32","Create course","LMS service","Tue Sep 09 05:31:11 UTC 2025","passed","Tue Sep 09 05:31:11 UTC 2025","Create entity","Courses","",""
"","554","Create user","LMS service","Tue Sep 09 05:31:19 UTC 2025","passed","Tue Sep 09 05:31:19 UTC 2025","Create entity","Users","",""
"","14","Get user me","LMS service","Tue Sep 09 05:31:20 UTC 2025","passed","Tue Sep 09 05:31:20 UTC 2025","Get entity","Users","",""
"","551","Create user","LMS service","Tue Sep 09 05:31:18 UTC 2025","passed","Tue Sep 09 05:31:19 UTC 2025","Create entity","Users","",""
"","25","Create exercise","LMS service","Tue Sep 09 05:31:13 UTC 2025","passed","Tue Sep 09 05:31:13 UTC 2025","Create entity","Exercises","",""
"","20","Update exercise","LMS service","Tue Sep 09 05:31:13 UTC 2025","passed","Tue Sep 09 05:31:13 UTC 2025","Update entity","Exercises","",""
"","297","Delete file","LMS service","Tue Sep 09 05:31:18 UTC 2025","passed","Tue Sep 09 05:31:18 UTC 2025","Delete entity","Files","",""
"","18","Create file","LMS service","Tue Sep 09 05:31:16 UTC 2025","passed","Tue Sep 09 05:31:16 UTC 2025","Create entity","Files","",""
"","15","Get file","LMS service","Tue Sep 09 05:31:17 UTC 2025","passed","Tue Sep 09 05:31:17 UTC 2025","Get entity","Files","",""
"","259","Create file with empty directory","LMS service","Tue Sep 09 05:31:18 UTC 2025","passed","Tue Sep 09 05:31:18 UTC 2025","Validate entity","Files","",""
"","287","Create user","LMS service","Tue Sep 09 05:31:19 UTC 2025","passed","Tue Sep 09 05:31:19 UTC 2025","Create entity","Users","",""
"","19","Delete exercise","LMS service","Tue Sep 09 05:31:15 UTC 2025","passed","Tue Sep 09 05:31:15 UTC 2025","Delete entity","Exercises","",""
"","34","Update course","LMS service","Tue Sep 09 05:31:12 UTC 2025","passed","Tue Sep 09 05:31:12 UTC 2025","Update entity","Courses","",""
"","47","Get exercise","LMS service","Tue Sep 09 05:31:14 UTC 2025","passed","Tue Sep 09 05:31:15 UTC 2025","Get entity","Exercises","",""
