"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","Update exercise","LMS service","Thu Sep 11 03:52:14 UTC 2025","passed","Thu Sep 11 03:52:14 UTC 2025","Update entity","Exercises","",""
"","255","Create file with empty directory","LMS service","Thu Sep 11 03:52:17 UTC 2025","passed","Thu Sep 11 03:52:18 UTC 2025","Validate entity","Files","",""
"","22","Delete file","LMS service","Thu Sep 11 03:52:18 UTC 2025","passed","Thu Sep 11 03:52:18 UTC 2025","Delete entity","Files","",""
"","561","Create user","LMS service","Thu Sep 11 03:52:19 UTC 2025","passed","Thu Sep 11 03:52:19 UTC 2025","Create entity","Users","",""
"","18","Get exercises","LMS service","Thu Sep 11 03:52:15 UTC 2025","passed","Thu Sep 11 03:52:15 UTC 2025","Get entities","Exercises","",""
"","286","Login with correct email and password","LMS service","Thu Sep 11 03:52:10 UTC 2025","passed","Thu Sep 11 03:52:11 UTC 2025","Login","Authentication","",""
"","16","Get exercise","LMS service","Thu Sep 11 03:52:14 UTC 2025","passed","Thu Sep 11 03:52:14 UTC 2025","Get entity","Exercises","",""
"","31","Update course","LMS service","Thu Sep 11 03:52:12 UTC 2025","passed","Thu Sep 11 03:52:12 UTC 2025","Update entity","Courses","",""
"","26","Get courses","LMS service","Thu Sep 11 03:52:12 UTC 2025","passed","Thu Sep 11 03:52:12 UTC 2025","Get entities","Courses","",""
"","293","Delete exercise","LMS service","Thu Sep 11 03:52:15 UTC 2025","passed","Thu Sep 11 03:52:15 UTC 2025","Delete entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Thu Sep 11 03:52:17 UTC 2025","passed","Thu Sep 11 03:52:17 UTC 2025","Validate entity","Files","",""
"","17","Get file","LMS service","Thu Sep 11 03:52:17 UTC 2025","passed","Thu Sep 11 03:52:17 UTC 2025","Get entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Thu Sep 11 03:52:19 UTC 2025","passed","Thu Sep 11 03:52:19 UTC 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Thu Sep 11 03:52:20 UTC 2025","passed","Thu Sep 11 03:52:20 UTC 2025","Get entity","Users","",""
"","265","Create file","LMS service","Thu Sep 11 03:52:16 UTC 2025","passed","Thu Sep 11 03:52:16 UTC 2025","Create entity","Files","",""
"","289","Create user","LMS service","Thu Sep 11 03:52:19 UTC 2025","passed","Thu Sep 11 03:52:19 UTC 2025","Create entity","Users","",""
"","37","Create course","LMS service","Thu Sep 11 03:52:11 UTC 2025","passed","Thu Sep 11 03:52:11 UTC 2025","Create entity","Courses","",""
"","23","Create exercise","LMS service","Thu Sep 11 03:52:13 UTC 2025","passed","Thu Sep 11 03:52:13 UTC 2025","Create entity","Exercises","",""
"","526","Create user","LMS service","Thu Sep 11 03:52:18 UTC 2025","passed","Thu Sep 11 03:52:19 UTC 2025","Create entity","Users","",""
