"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file","LMS service","Thu Sep 11 03:59:10 UTC 2025","passed","Thu Sep 11 03:59:10 UTC 2025","Get entity","Files","",""
"","263","Get file with incorrect file id","LMS service","Thu Sep 11 03:59:12 UTC 2025","passed","Thu Sep 11 03:59:12 UTC 2025","Validate entity","Files","",""
"","22","Create file","LMS service","Thu Sep 11 03:59:09 UTC 2025","passed","Thu Sep 11 03:59:09 UTC 2025","Create entity","Files","",""
"","291","Create user","LMS service","Thu Sep 11 03:59:12 UTC 2025","passed","Thu Sep 11 03:59:12 UTC 2025","Create entity","Users","",""
"","21","Delete exercise","LMS service","Thu Sep 11 03:59:07 UTC 2025","passed","Thu Sep 11 03:59:07 UTC 2025","Delete entity","Exercises","",""
"","550","Login with correct email and password","LMS service","Thu Sep 11 03:59:03 UTC 2025","passed","Thu Sep 11 03:59:04 UTC 2025","Login","Authentication","",""
"","257","Create file with empty directory","LMS service","Thu Sep 11 03:59:11 UTC 2025","passed","Thu Sep 11 03:59:11 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Thu Sep 11 03:59:13 UTC 2025","passed","Thu Sep 11 03:59:13 UTC 2025","Get entity","Users","",""
"","22","Update exercise","LMS service","Thu Sep 11 03:59:06 UTC 2025","passed","Thu Sep 11 03:59:06 UTC 2025","Update entity","Exercises","",""
"","293","Delete file","LMS service","Thu Sep 11 03:59:11 UTC 2025","passed","Thu Sep 11 03:59:11 UTC 2025","Delete entity","Files","",""
"","36","Create course","LMS service","Thu Sep 11 03:59:04 UTC 2025","passed","Thu Sep 11 03:59:04 UTC 2025","Create entity","Courses","",""
"","25","Get exercises","LMS service","Thu Sep 11 03:59:09 UTC 2025","passed","Thu Sep 11 03:59:09 UTC 2025","Get entities","Exercises","",""
"","27","Create exercise","LMS service","Thu Sep 11 03:59:06 UTC 2025","passed","Thu Sep 11 03:59:06 UTC 2025","Create entity","Exercises","",""
"","29","Get courses","LMS service","Thu Sep 11 03:59:05 UTC 2025","passed","Thu Sep 11 03:59:05 UTC 2025","Get entities","Courses","",""
"","263","Create file with empty filename","LMS service","Thu Sep 11 03:59:10 UTC 2025","passed","Thu Sep 11 03:59:10 UTC 2025","Validate entity","Files","",""
"","558","Create user","LMS service","Thu Sep 11 03:59:12 UTC 2025","passed","Thu Sep 11 03:59:12 UTC 2025","Create entity","Users","",""
"","551","Create user","LMS service","Thu Sep 11 03:59:11 UTC 2025","passed","Thu Sep 11 03:59:12 UTC 2025","Create entity","Users","",""
"","48","Get exercise","LMS service","Thu Sep 11 03:59:07 UTC 2025","passed","Thu Sep 11 03:59:07 UTC 2025","Get entity","Exercises","",""
"","39","Update course","LMS service","Thu Sep 11 03:59:05 UTC 2025","passed","Thu Sep 11 03:59:05 UTC 2025","Update entity","Courses","",""
